"date";"id";"bed_time";"late";"late_reason";"wake_time";"sleep_transition";"sleep_struggle";"night_wake";"wake_earlier";"wake_earlier_problem";"sleep_quality";"physical_activity";"mental_digital_activity";"social_activity";"light";"presleep_description";"temptation_smoking";"temptation_eating";"temptation_chat";"temptation_coffee";"temptation_social_media";"temptation_internet";"temptation_tv";"temptation_alcohol";"temptation_soft_drink";"temptation_cleaning";"temptation_shopping";"temptation_other";"bed_time_plan";"temptation_score";"plan_tonight";"bed_tonight";"procrastination_minutes"
"2017-04-10 09:57:26+02:00";"AB64";"2017-04-10 02:00:00";1;"We zijn vanuit het noorden van het land teruggereden naar huis na een theatervoorstelling";"2017-04-10 09:30:00";0;0;0;0;0;2;1;1;2;1;"Theaterbezoek, autorit (bijrijder)";0;0;2;0;2;2;0;0;0;0;0;0;"2017-04-10 23:00:00";6;"2017-04-10 23:00:00";"2017-04-10 23:45:00";45
"2017-04-11 23:25:39+02:00";"AB64";"2017-04-11 23:45:00";1;"";"2017-04-11 07:00:00";0;0;4;0;0;2;1;1;2;3;"Tv kijken";0;0;0;0;2;2;0;2;0;0;0;0;"2017-04-11 23:30:00";6;"2017-04-11 23:30:00";"2017-04-11 23:55:00";25
"2017-04-12 07:42:47+02:00";"AB64";"2017-04-12 23:55:00";1;"Man kwam thuis en daar wilde ik nog even mee praten";"2017-04-12 07:00:00";0;0;2;0;0;1;0;0;3;3;"Poging om Netflix te kijken maar was te moe, praten met huisgenoten, ";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-12 23:00:00";2;"2017-04-12 23:00:00";"2017-04-13 00:30:00";90
"2017-04-13 08:26:21+02:00";"AB64";"2017-04-13 00:30:00";1;"Tot laat doorgewerkt.";"2017-04-13 07:00:00";0;0;2;0;0;2;0;3;1;3;"Gewerkt, achter de pc";0;0;0;0;0;0;1;1;0;0;0;0;"2017-04-13 23:30:00";2;"2017-04-13 23:30:00";"2017-04-14 00:00:00";30
"2017-04-14 13:10:28+02:00";"AB64";"2017-04-14 00:00:00";0;"nvt";"2017-04-14 09:00:00";0;0;2;0;1;2;0;1;2;3;"tv gekeken, ipad";0;0;0;0;2;0;0;0;0;0;0;0;"2017-04-14 23:00:00";2;"2017-04-14 23:00:00";"2017-04-15 01:00:00";120
"2017-04-15 17:04:43+02:00";"AB64";"2017-04-15 01:00:00";1;"Nog even gezellig napraten, en in eens was het 1 uur.";"2017-04-15 07:00:00";0;0;2;0;1;2;0;2;2;3;"Ipad, tv-serie kijken, gezellig kletsen";0;0;0;0;2;2;0;0;0;0;0;0;"2017-04-15 23:00:00";4;"2017-04-15 23:00:00";"2017-04-15 23:30:00";30
"2017-04-16 08:16:39+02:00";"AB64";"2017-04-16 23:30:00";0;"Nvt";"2017-04-16 07:00:00";0;0;2;1;0;2;0;1;2;2;"Even rustig zitten samen, de dag doorpraten.";0;0;0;0;0;2;0;0;0;0;0;0;"2017-04-16 23:00:00";2;"2017-04-16 23:00:00";"2017-04-16 23:30:00";30
"2017-04-17 08:11:53+02:00";"AB64";"2017-04-17 23:30:00";0;"Nvt";"2017-04-17 07:00:00";0;0;1;0;0;2;0;1;1;2;"Televisie gekeken, boek gelezen, op de bank gezetten, was doen.";0;0;0;0;2;0;2;0;0;0;0;0;"2017-04-17 23:30:00";4;"2017-04-17 23:30:00";"2017-04-18 00:30:00";60
"2017-04-18 08:41:36+02:00";"AB64";"2017-04-18 00:30:00";1;"Geen bijzondere reden. ";"2017-04-18 08:00:00";0;0;2;1;1;2;0;1;2;2;"Televisie kijken, lezen, ipad, gesprek voeren";0;2;0;0;0;0;0;2;0;0;0;0;"2017-04-18 00:00:00";4;"2017-04-19 00:00:00";"2017-04-19 01:00:00";60
"2017-04-19 17:17:55+02:00";"AB64";"2017-04-19 01:00:00";1;"Ik ben naar een verjaardag geweest.";"2017-04-19 07:00:00";0;0;1;1;0;2;0;2;1;0;"Verjaardag: kletsen met allerlei mensen, 10 minuten buiten lopen, lezen";0;0;0;0;0;0;0;1;0;0;0;0;"2017-04-19 23:00:00";1;"2017-04-19 23:00:00";"2017-04-20 00:30:00";90
"2017-04-20 17:18:27+02:00";"AB64";"2017-04-20 00:30:00";1;"Geen bijzondere reden. ";"2017-04-20 08:00:00";0;0;2;1;1;2;0;1;2;2;"Televisie kijken, lezen, ipad, gesprek voeren";0;2;0;0;0;0;0;2;0;0;0;0;"2017-04-20 00:00:00";4;"2017-04-21 00:00:00";"2017-04-20 22:30:00";-90
"2017-04-21 07:31:53+02:00";"AB64";"2017-04-21 22:30:00";0;"N.v.t.";"2017-04-21 07:00:00";0;0;1;0;0;2;0;0;1;3;"Serie kijken, lezen in bed";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-21 23:00:00";0;"2017-04-21 23:00:00";"2017-04-22 00:00:00";60
"2017-04-22 07:25:50+02:00";"AB64";"2017-04-22 00:00:00";1;"Geen specifieke reden, soms loopt het gewoon zo en dan is het later dan je dacht.";"2017-04-22 07:00:00";0;0;2;0;0;2;0;3;3;3;"Tv kijken, lezen, praten met huisgenoten";0;2;0;0;0;0;0;2;0;0;0;0;"2017-04-22 00:00:00";4;"2017-04-23 00:00:00";"2017-04-22 23:50:00";-10
"2017-04-23 21:04:02+02:00";"AB64";"2017-04-23 23:50:00";1;"In slaap gevallen voor tv";"2017-04-23 07:00:00";0;0;2;1;0;2;0;1;2;3;"Tv kijken, praten met de kinderen";0;0;0;0;2;2;0;2;0;0;1;0;"2017-04-23 23:00:00";7;"2017-04-23 23:00:00";"2017-04-23 21:30:00";-90
"2017-04-10 20:43:22+02:00";"EM11";"2017-04-10 21:30:00";0;"";"2017-04-10 06:20:00";0;0;1;0;0;3;1;0;2;0;"Eten, opruimen, badkamer, massage";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-10 21:30:00";2;"2017-04-10 21:30:00";"2017-04-10 22:15:00";45
"2017-04-11 20:21:13+02:00";"EM11";"2017-04-11 22:15:00";1;"Bad gevolgd bij een heerlijke vrij partij;)";"2017-04-11 06:30:00";0;0;2;0;0;1;1;1;1;1;"Eten, computer, bad, seks";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-11 21:30:00";0;"2017-04-11 21:30:00";"2017-04-11 21:40:00";10
"2017-04-12 19:14:51+02:00";"EM11";"2017-04-12 21:40:00";0;"";"2017-04-12 07:00:00";0;0;2;0;1;2;0;0;3;2;"Eten, huishouden, film";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-12 21:00:00";0;"2017-04-12 21:00:00";"2017-04-12 21:15:00";15
"2017-04-13 09:32:23+02:00";"EM11";"2017-04-13 21:15:00";0;"";"2017-04-13 05:50:00";0;0;1;0;0;3;0;1;3;0;"Koken, opruimen, lezen";0;0;0;0;0;0;0;0;0;0;0;2;"2017-04-13 22:00:00";2;"2017-04-13 22:00:00";"2017-04-13 22:00:00";0
"2017-04-14 17:40:51+02:00";"EM11";"2017-04-14 22:00:00";0;"";"2017-04-14 06:45:00";0;0;1;0;0;3;0;0;1;3;"Lezen, eten, opruimen, film kijken";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-14 21:30:00";0;"2017-04-14 21:30:00";"2017-04-14 23:15:00";105
"2017-04-15 07:13:30+02:00";"EM11";"2017-04-15 23:15:00";1;"Avond met vrienden liep uit";"2017-04-15 06:10:00";0;0;1;1;0;2;1;2;2;3;"Praten met vrienden, fietsen, eten, opruimen, vrijen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-15 21:00:00";0;"2017-04-15 21:00:00";"2017-04-15 21:15:00";15
"2017-04-16 07:00:48+02:00";"EM11";"2017-04-16 21:15:00";0;"";"2017-04-16 06:15:00";0;0;2;1;2;1;1;1;2;0;"Koken, eten, wandelen, lezen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-16 21:00:00";0;"2017-04-16 21:00:00";"2017-04-16 22:00:00";60
"2017-04-17 07:18:49+02:00";"EM11";"2017-04-17 22:00:00";0;"";"2017-04-17 06:30:00";0;0;0;1;1;2;0;0;3;0;"Zakelijke gesprekken, eten, sociaal";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-17 21:30:00";0;"2017-04-17 21:30:00";"2017-04-17 22:15:00";45
"2017-04-18 07:05:45+02:00";"EM11";"2017-04-18 22:15:00";1;"Vrijen;)";"2017-04-18 06:10:00";0;0;1;1;1;2;1;1;1;1;"Koken, opruimen, lezen, praten, vrijen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-18 21:30:00";0;"2017-04-18 21:30:00";"2017-04-18 22:00:00";30
"2017-04-19 13:50:06+02:00";"EM11";"2017-04-19 22:00:00";1;"Bad";"2017-04-19 06:30:00";0;1;0;0;0;3;1;0;2;1;"Eten, opruimen, wandelen, tandarts, bad";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-19 21:30:00";0;"2017-04-19 21:30:00";"2017-04-19 21:30:00";0
"2017-04-20 11:08:22+02:00";"EM11";"2017-04-20 21:30:00";0;"";"2017-04-20 06:10:00";0;0;0;0;0;3;0;1;1;0;"Sociaal, winkelen, eten, huishouden, lezen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-20 23:00:00";0;"2017-04-20 23:00:00";"2017-04-21 01:00:00";120
"2017-04-21 07:59:14+02:00";"EM11";"2017-04-21 01:00:00";1;"Soul party";"2017-04-21 07:00:00";0;0;1;1;3;1;2;0;1;3;"Dansen, drinken, fietsen";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-21 21:00:00";2;"2017-04-21 21:00:00";"2017-04-21 21:15:00";15
"2017-04-22 13:19:46+02:00";"EM11";"2017-04-22 21:15:00";1;"Vakantie planning";"2017-04-22 06:20:00";1;1;2;1;3;0;1;2;2;1;"Wandelen, eten, huishouden, computer";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-22 21:00:00";0;"2017-04-22 21:00:00";"2017-04-22 21:15:00";15
"2017-04-23 11:56:03+02:00";"EM11";"2017-04-23 21:15:00";1;"Voorbereiding vakantie";"2017-04-23 06:00:00";0;0;0;0;0;3;2;1;2;1;"Eten, huishouden, wandelen, computer, vakantie voorbereidingen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-23 22:00:00";0;"2017-04-23 22:00:00";"2017-04-23 23:00:00";60
"2017-04-24 11:09:48+02:00";"EM11";"2017-04-24 23:00:00";1;"vrijen:) de laatste keer voor we het klooster in gaan:(";"2017-04-24 07:00:00";0;0;0;0;0;3;1;0;3;0;"Wandelen, bad, seks";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-24 23:30:00";0;"2017-04-24 23:30:00";"2017-04-24 23:15:00";-15
"2017-04-10 21:53:22+02:00";"FT12";"2017-04-10 23:15:00";0;"";"2017-04-10 07:30:00";1;0;0;0;0;2;0;0;2;2;"wandelen, bad, TV";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-10 00:00:00";0;"2017-04-11 00:00:00";"2017-04-10 22:00:00";-120
"2017-04-11 21:58:21+02:00";"FT12";"2017-04-11 22:00:00";0;"";"2017-04-11 07:30:00";0;0;1;1;1;1;3;0;2;0;"bad, massage, sex";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-11 23:00:00";0;"2017-04-11 23:00:00";"2017-04-11 22:15:00";-45
"2017-04-12 17:22:12+02:00";"FT12";"2017-04-12 22:15:00";0;"";"2017-04-12 07:30:00";1;0;1;1;2;1;0;0;2;3;"eten, film kijken, ebook lezen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-12 22:00:00";0;"2017-04-12 22:00:00";"2017-04-12 22:15:00";15
"2017-04-13 07:40:53+02:00";"FT12";"2017-04-13 22:15:00";0;"";"2017-04-13 07:15:00";2;0;1;0;0;3;2;2;1;0;"eten, fietsen, bezoek";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-13 23:00:00";2;"2017-04-13 23:00:00";"2017-04-14 00:00:00";60
"2017-04-14 11:19:12+02:00";"FT12";"2017-04-14 00:00:00";1;"TV";"2017-04-14 09:15:00";0;0;2;1;1;2;1;2;2;3;"studie, TV";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-14 23:00:00";2;"2017-04-14 23:00:00";"2017-04-15 00:00:00";60
"2017-04-15 07:31:35+02:00";"FT12";"2017-04-15 00:00:00";1;"TV";"2017-04-15 07:00:00";0;0;0;0;0;2;0;2;2;3;"Studie, TV";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-15 23:00:00";0;"2017-04-15 23:00:00";"2017-04-16 00:15:00";75
"2017-04-16 12:25:19+02:00";"FT12";"2017-04-16 00:15:00";1;"TV";"2017-04-16 08:30:00";1;1;1;1;1;1;0;2;2;2;"Studie, TV";0;2;0;0;0;0;2;2;0;0;0;0;"2017-04-16 00:00:00";6;"2017-04-17 00:00:00";"2017-04-17 01:30:00";90
"2017-04-17 11:58:03+02:00";"FT12";"2017-04-17 01:30:00";1;"feest";"2017-04-17 08:00:00";0;0;1;0;0;2;2;1;2;3;"dansen, fietsen";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-17 23:00:00";2;"2017-04-17 23:00:00";"2017-04-17 23:15:00";15
"2017-04-18 08:47:49+02:00";"FT12";"2017-04-18 23:15:00";0;"";"2017-04-18 08:30:00";1;1;2;1;2;1;0;2;2;3;"administratie, studie, TV";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-18 23:00:00";2;"2017-04-18 23:00:00";"2017-04-19 00:00:00";60
"2017-04-19 23:00:22+02:00";"FT12";"2017-04-19 00:00:00";1;"TV";"2017-04-19 07:00:00";0;0;0;0;0;2;0;0;2;3;"eten, TV, PC";0;0;0;0;0;2;0;2;0;0;0;2;"2017-04-19 23:30:00";6;"2017-04-19 23:30:00";"2017-04-20 00:00:00";30
"2017-04-20 11:39:48+02:00";"FT12";"2017-04-20 00:00:00";1;"mail";"2017-04-20 08:00:00";0;0;0;0;0;2;1;1;0;2;"bad, sex, mail";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-20 00:00:00";2;"2017-04-21 00:00:00";"2017-04-20 21:30:00";-150
"2017-05-21 09:32:32+02:00";"FT12";"2017-05-21 21:30:00";0;"";"2017-05-21 07:30:00";0;0;0;0;0;3;1;1;1;3;"wandelen, tv, pc";0;0;0;0;0;0;2;2;0;0;0;2;"2017-05-21 22:00:00";6;"2017-05-21 22:00:00";"2017-05-21 22:30:00";30
"2017-05-22 09:35:21+02:00";"FT12";"2017-05-22 22:30:00";1;"";"2017-05-22 07:00:00";0;0;1;0;0;2;1;1;1;3;"eten, tv, pc";0;0;0;0;0;0;0;2;0;0;0;0;"2017-05-22 23:00:00";2;"2017-05-22 23:00:00";"2017-05-23 01:00:00";120
"2017-05-23 09:38:03+02:00";"FT12";"2017-05-23 01:00:00";1;"studie";"2017-05-23 08:00:00";1;1;2;1;2;0;0;2;1;3;"studie, bezoek, surfen";0;0;0;0;0;2;0;2;2;0;0;0;"2017-05-23 21:00:00";6;"2017-05-23 21:00:00";"2017-05-24 03:00:00";360
"2017-04-10 22:48:09+02:00";"gh93";"2017-04-10 03:00:00";1;"";"2017-04-10 14:30:00";2;1;2;0;0;2;0;3;3;3;"lezen; muziek studiotechniek;";2;0;0;0;0;0;0;0;2;0;0;0;"2017-04-10 05:00:00";4;"2017-04-11 05:00:00";"2017-04-11 01:15:00";-225
"2017-04-11 01:28:39+02:00";"gh93";"2017-04-11 01:15:00";0;"";"2017-04-11 12:25:00";1;0;3;0;0;2;3;0;2;1;"muziek;seks";2;1;0;0;0;0;0;0;2;0;0;0;"2017-04-11 03:30:00";5;"2017-04-12 03:30:00";"2017-04-12 02:30:00";-60
"2017-04-12 21:51:36+02:00";"gh93";"2017-04-12 02:30:00";0;"";"2017-04-12 12:15:00";3;1;1;0;0;1;0;2;1;1;"muziek;lezen;seks";2;0;0;0;0;0;0;0;2;0;0;0;"2017-04-12 02:00:00";4;"2017-04-13 02:00:00";"2017-04-13 05:00:00";180
"2017-04-13 00:42:19+02:00";"gh93";"2017-04-13 05:00:00";0;"vrouwen";"2017-04-13 13:00:00";0;0;1;0;0;2;2;1;2;0;"film;seks";2;0;0;0;0;0;0;0;2;0;0;0;"2017-04-13 03:00:00";4;"2017-04-14 03:00:00";"2017-04-14 04:30:00";90
"2017-04-14 23:19:56+02:00";"gh93";"2017-04-14 04:30:00";0;"";"2017-04-14 11:00:00";2;1;2;1;0;1;2;0;1;0;"muziek;seks";2;0;0;0;0;0;0;0;2;0;0;0;"2017-04-14 03:00:00";4;"2017-04-15 03:00:00";"2017-04-15 03:30:00";30
"2017-04-15 00:11:02+02:00";"gh93";"2017-04-15 03:30:00";0;"";"2017-04-15 12:15:00";3;1;1;0;0;0;1;1;3;1;"muziek;lezen";2;0;0;0;0;0;0;0;2;0;0;0;"2017-04-15 03:00:00";4;"2017-04-16 03:00:00";"2017-04-16 03:30:00";30
"2017-04-16 01:20:54+02:00";"gh93";"2017-04-16 03:30:00";0;"";"2017-04-16 11:45:00";2;1;2;0;0;1;2;1;3;1;"muziek;seks;lezen";2;0;0;0;0;0;0;0;2;0;0;0;"2017-04-16 03:00:00";4;"2017-04-17 03:00:00";"2017-04-17 04:00:00";60
"2017-04-17 01:03:41+02:00";"Gh93";"2017-04-17 04:00:00";0;"";"2017-04-17 13:00:00";1;0;1;0;0;2;2;1;3;2;"Lezen;film;muziek;seks";2;0;0;0;0;0;0;0;2;0;0;0;"2017-04-17 01:00:00";4;"2017-04-18 01:00:00";"2017-04-18 01:00:00";0
"2017-04-18 02:40:54+02:00";"gh93";"2017-04-18 01:00:00";0;"";"2017-04-18 08:00:00";1;0;2;0;0;2;2;1;3;1;"Kinderen;lezen;huishouden";2;0;0;0;0;0;0;0;2;0;0;0;"2017-04-18 03:00:00";4;"2017-04-19 03:00:00";"2017-04-19 04:30:00";90
"2017-04-19 01:41:33+02:00";"gh93";"2017-04-19 04:30:00";0;"";"2017-04-19 11:00:00";1;0;1;0;0;2;2;2;3;0;"muziek;lezen;seks";2;0;0;0;0;0;0;0;2;0;0;0;"2017-04-19 03:00:00";4;"2017-04-20 03:00:00";"2017-04-20 04:30:00";90
"2017-04-20 03:04:09+02:00";"gh93";"2017-04-20 04:30:00";0;"";"2017-04-20 13:00:00";2;1;1;0;0;1;0;2;1;0;"lezen";2;0;0;0;0;0;0;0;2;0;0;0;"2017-04-20 04:00:00";4;"2017-04-21 04:00:00";"2017-04-21 03:30:00";-30
