"date";"id";"bed_time";"late";"late_reason";"wake_time";"sleep_transition";"sleep_struggle";"night_wake";"wake_earlier";"wake_earlier_problem";"sleep_quality";"physical_activity";"mental_digital_activity";"social_activity";"light";"presleep_description";"temptation_smoking";"temptation_eating";"temptation_chat";"temptation_coffee";"temptation_social_media";"temptation_internet";"temptation_tv";"temptation_alcohol";"temptation_soft_drink";"temptation_cleaning";"temptation_shopping";"temptation_other";"bed_time_plan";"temptation_score";"plan_tonight";"bed_tonight";"procrastination_minutes"
"2017-04-21 04:22:56+02:00";"Gh93";"2017-04-21 03:30:00";0;"";"2017-04-21 13:00:00";2;1;2;0;0;1;2;1;3;0;"Seks;muziek;lezen";2;0;0;0;0;0;0;0;2;0;0;0;"2017-04-21 04:30:00";4;"2017-04-22 04:30:00";"2017-04-22 05:00:00";30
"2017-04-22 04:30:24+02:00";"gh93";"2017-04-22 05:00:00";0;"";"2017-04-22 14:30:00";2;1;3;0;0;0;0;2;3;1;"muziek;lezen";2;0;0;0;0;0;0;0;2;0;0;0;"2017-04-22 04:30:00";4;"2017-04-23 04:30:00";"2017-04-23 04:30:00";0
"2017-04-23 02:10:27+02:00";"gh93";"2017-04-23 04:30:00";0;"";"2017-04-23 12:00:00";0;0;1;0;0;3;0;1;3;0;"lezen";2;0;0;0;0;0;0;0;2;0;0;0;"2017-04-23 03:00:00";4;"2017-04-24 03:00:00";"2017-04-24 03:00:00";0
"2017-04-10 00:30:33+02:00";"GW98";"2017-04-10 03:00:00";1;"Gamen";"2017-04-10 10:00:00";2;1;0;0;1;2;0;1;3;3;"Gamen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-10 02:00:00";0;"2017-04-11 02:00:00";"2017-04-11 03:00:00";60
"2017-04-11 00:30:34+02:00";"GW98";"2017-04-11 03:00:00";1;"Gamen";"2017-04-11 10:00:00";2;1;0;0;1;2;0;1;3;3;"Gamen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-11 02:00:00";0;"2017-04-12 02:00:00";"2017-04-12 04:00:00";120
"2017-04-12 03:20:10+02:00";"GW98";"2017-04-12 04:00:00";1;"Tijd voor mezelf ";"2017-04-12 13:00:00";0;0;0;0;0;2;0;1;3;3;"Gamen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-12 03:00:00";0;"2017-04-13 03:00:00";"2017-04-13 02:45:00";-15
"2017-04-13 07:01:03+02:00";"GW98";"2017-04-13 02:45:00";0;"";"2017-04-13 12:00:00";1;0;0;0;0;2;2;2;3;1;"Feestje, opruimen";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-13 05:00:00";2;"2017-04-14 05:00:00";"2017-04-14 07:00:00";120
"2017-04-14 01:19:25+02:00";"GW98";"2017-04-14 07:00:00";1;"Game tijd na een hele dag werken";"2017-04-14 14:00:00";0;0;1;0;0;2;0;1;3;3;"Gamen";0;0;0;0;0;0;0;0;0;0;0;2;"2017-04-14 00:00:00";2;"2017-04-15 00:00:00";"2017-04-15 01:15:00";75
"2017-04-15 02:58:29+02:00";"GW98";"2017-04-15 01:15:00";1;"Geen slaap";"2017-04-15 05:10:00";1;1;0;0;0;2;1;1;3;2;"TV kijken ";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-15 02:00:00";0;"2017-04-16 02:00:00";"2017-04-16 03:00:00";60
"2017-04-16 05:11:22+02:00";"GW98";"2017-04-16 03:00:00";1;"Vrije dag vandaag";"2017-04-16 13:00:00";0;0;0;0;0;2;0;1;3;2;"Bankhangen";0;0;0;0;0;0;0;0;0;0;0;2;"2017-04-16 03:00:00";2;"2017-04-17 03:00:00";"2017-04-17 05:30:00";150
"2017-04-17 04:44:45+02:00";"GW98";"2017-04-17 05:30:00";1;"Gamen in eigen tijd";"2017-04-17 12:40:00";0;0;0;0;0;2;0;1;2;3;"Gamen op de pc";0;0;0;0;0;0;0;0;0;0;0;2;"2017-04-17 02:00:00";2;"2017-04-18 02:00:00";"2017-04-18 05:00:00";180
"2017-04-18 02:22:29+02:00";"GW98";"2017-04-18 05:00:00";0;"";"2017-04-18 14:00:00";0;0;1;0;1;2;3;3;3;3;"Uitgaan, alcohol, muziek, fietsen ";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-18 00:00:00";2;"2017-04-19 00:00:00";"2017-04-19 02:00:00";120
"2017-04-19 03:40:42+02:00";"GW98";"2017-04-19 02:00:00";1;"Laat thuis";"2017-04-19 05:15:00";2;1;0;0;0;1;3;2;3;2;"Klussen, familie, ";0;0;0;0;0;0;0;0;2;0;0;0;"2017-04-19 02:00:00";2;"2017-04-20 02:00:00";"2017-04-20 03:45:00";105
"2017-04-20 02:09:20+02:00";"GW98";"2017-04-20 03:45:00";0;"";"2017-04-20 13:30:00";0;0;0;0;0;2;1;1;3;2;"Feestje";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-20 01:00:00";2;"2017-04-21 01:00:00";"2017-04-21 02:10:00";70
"2017-04-21 00:48:35+02:00";"GW98";"2017-04-21 02:10:00";1;"Paasfeestje";"2017-04-21 05:30:00";2;1;0;0;1;2;2;2;3;1;"Feestje, borrel, gezelligheid";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-21 01:00:00";2;"2017-04-22 01:00:00";"2017-04-22 01:00:00";0
"2017-04-22 05:46:18+02:00";"GW98";"2017-04-22 01:00:00";0;"";"2017-04-22 13:00:00";1;0;0;0;0;2;0;1;3;2;"TV kijken";0;0;0;0;0;0;2;0;0;0;0;0;"2017-04-22 03:00:00";2;"2017-04-23 03:00:00";"2017-04-23 05:45:00";165
"2017-04-23 05:00:25+02:00";"GW98";"2017-04-23 05:45:00";1;"Gamen, studeren uitstellen";"2017-04-23 13:30:00";0;0;0;0;0;2;0;1;1;3;"Gamen, tv kijken";0;1;0;0;0;2;2;0;0;0;0;1;"2017-04-23 01:00:00";6;"2017-04-24 01:00:00";"2017-04-24 05:00:00";240
"2017-04-24 03:00:11+02:00";"GW98";"2017-04-24 05:00:00";1;"Studeren";"2017-04-24 08:45:00";0;0;0;1;2;1;0;3;3;3;"Studeren, PC";0;0;0;0;0;1;0;0;0;0;0;0;"2017-04-24 03:00:00";1;"2017-04-25 03:00:00";"2017-04-25 03:30:00";30
"2017-04-25 01:26:30+02:00";"GW98";"2017-04-25 03:30:00";1;"Studie";"2017-04-25 13:30:00";0;0;0;0;0;2;0;2;2;3;"voetbal, studeren";0;0;0;0;0;2;0;0;0;0;0;2;"2017-04-25 00:00:00";4;"2017-04-26 00:00:00";"2017-04-26 02:00:00";120
"2017-04-26 02:19:46+02:00";"GW98";"2017-04-26 02:00:00";1;"Studie";"2017-04-26 05:15:00";2;1;0;0;0;1;1;3;2;3;"Studeren, pc";0;0;0;0;0;2;0;0;0;0;0;0;"2017-04-26 00:00:00";2;"2017-04-27 00:00:00";"2017-04-27 02:30:00";150
"2017-04-27 03:09:28+02:00";"GW98";"2017-04-27 02:30:00";1;"Studie ";"2017-04-27 05:15:00";1;0;0;0;0;2;0;3;3;3;"Studeren";0;0;0;0;0;1;0;0;0;0;0;0;"2017-04-27 02:00:00";1;"2017-04-28 02:00:00";"2017-04-28 03:00:00";60
"2017-04-28 04:27:31+02:00";"GW98";"2017-04-28 03:00:00";0;"";"2017-04-28 14:00:00";0;0;0;0;0;2;0;1;3;3;"Gamen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-28 03:00:00";0;"2017-04-29 03:00:00";"2017-04-29 05:30:00";150
"2017-04-29 01:40:32+02:00";"GW98";"2017-04-29 05:30:00";1;"Gamen";"2017-04-29 13:00:00";0;0;0;1;0;2;0;1;2;3;"Gaming, PC";0;2;0;0;0;0;0;0;0;0;0;0;"2017-04-29 00:00:00";2;"2017-04-30 00:00:00";"2017-04-30 02:15:00";135
"2017-04-30 03:17:54+02:00";"GW98";"2017-04-30 02:15:00";1;"Gamen";"2017-04-30 05:10:00";1;1;0;0;0;2;0;1;3;3;"Bioscoop, fietsen";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-30 03:00:00";2;"2017-05-01 03:00:00";"2017-05-01 10:45:00";465
"2017-04-10 19:41:11+02:00";"HA61";"2017-04-10 10:45:00";0;"";"2017-04-10 08:15:00";0;0;2;1;1;1;0;0;3;3;"Auto rijden, Hond uitlaten, tv kijken";0;0;0;2;0;0;2;0;0;0;0;2;"2017-04-10 21:45:00";6;"2017-04-10 21:45:00";"2017-04-10 21:50:00";5
"2017-04-11 20:53:33+02:00";"HA61";"2017-04-11 21:50:00";0;"";"2017-04-11 05:35:00";1;0;2;1;1;2;1;1;2;2;"Computer, hond uitlaten, tv kijken";0;0;0;2;0;0;2;2;0;0;0;0;"2017-04-11 09:50:00";6;"2017-04-12 09:50:00";"2017-04-11 21:55:00";-715
"2017-04-12 21:44:13+02:00";"HA61";"2017-04-12 21:55:00";1;"TV programma";"2017-04-12 05:40:00";0;0;2;1;1;1;1;1;3;3;"Eten, hond uitlaten, tv-kijken";0;0;0;2;0;0;0;2;0;0;0;2;"2017-04-12 22:00:00";6;"2017-04-12 22:00:00";"2017-04-12 21:50:00";-10
"2017-04-13 22:01:19+02:00";"HA61";"2017-04-13 21:50:00";0;"";"2017-04-13 05:40:00";1;1;3;1;3;0;3;1;2;1;"Ete,, skeeleren, tv kijken";0;0;0;2;0;2;2;2;0;0;0;2;"2017-04-13 21:50:00";10;"2017-04-13 21:50:00";"2017-04-13 22:10:00";20
"2017-04-14 21:09:57+02:00";"HA61";"2017-04-14 22:10:00";1;"Iets meer tijd voor tandenpoetsen ed";"2017-04-14 07:15:00";0;0;3;1;1;2;1;1;3;3;"Eten, hond uitlaten, tv kijken";0;0;0;2;0;0;2;2;0;0;0;0;"2017-04-14 22:00:00";6;"2017-04-14 22:00:00";"2017-04-14 21:50:00";-10
"2017-04-15 21:12:35+02:00";"HA61";"2017-04-15 21:50:00";0;"";"2017-04-15 07:30:00";1;0;2;1;1;1;1;1;2;3;"Hond uitlaten, tv, lezen";0;0;0;2;1;0;2;2;0;0;0;0;"2017-04-15 22:00:00";7;"2017-04-15 22:00:00";"2017-04-15 21:50:00";-10
"2017-04-16 21:09:30+02:00";"HA61";"2017-04-16 21:50:00";0;"";"2017-04-16 08:30:00";0;0;2;1;1;2;1;1;1;3;"Hond uitlaten, tv kijken, reis zoen internet";0;0;0;2;0;2;2;2;0;0;0;2;"2017-04-16 22:00:00";10;"2017-04-16 22:00:00";"2017-04-16 23:00:00";60
"2017-04-17 22:02:00+02:00";"HA61";"2017-04-17 23:00:00";1;"Tv programma";"2017-04-17 08:05:00";0;0;1;0;0;2;1;1;1;2;"Hond, tv kijken";0;0;0;2;0;0;2;0;0;0;0;2;"2017-04-17 22:30:00";6;"2017-04-17 22:30:00";"2017-04-17 22:30:00";0
"2017-04-18 22:39:10+02:00";"HA61";"2017-04-18 22:30:00";0;"";"2017-04-18 08:15:00";1;0;1;1;1;2;1;0;0;3;"Hond, tv, internet";0;0;0;2;0;0;2;0;0;0;0;2;"2017-04-18 22:45:00";6;"2017-04-18 22:45:00";"2017-04-18 22:30:00";-15
"2017-04-19 22:48:45+02:00";"HA61";"2017-04-19 22:30:00";0;"";"2017-04-19 08:30:00";1;0;1;0;0;2;1;0;1;3;"Hoe, tv, internet";0;0;0;2;0;0;2;0;0;0;0;0;"2017-04-19 22:45:00";4;"2017-04-19 22:45:00";"2017-04-19 22:45:00";0
"2017-04-20 21:32:14+02:00";"HA61";"2017-04-20 22:45:00";0;"";"2017-04-20 07:20:00";2;1;1;1;0;2;3;1;2;1;"Auto, skeeleren, auto, internet";0;0;0;2;2;0;0;0;0;0;0;2;"2017-04-20 22:15:00";6;"2017-04-20 22:15:00";"2017-04-20 22:30:00";15
"2017-04-21 00:28:12+02:00";"HA61";"2017-04-21 22:30:00";0;"Nvt";"2017-04-21 08:15:00";2;1;1;0;0;2;1;1;1;2;"Hond uitlaten, tv, internet";0;0;0;2;0;0;2;0;0;0;0;0;"2017-04-21 11:00:00";4;"2017-04-22 11:00:00";"2017-04-22 00:15:00";-645
"2017-04-22 22:41:51+02:00";"HA61";"2017-04-22 00:15:00";1;"Afspraak met buurvrouw";"2017-04-22 08:15:00";2;1;2;1;1;0;1;1;3;3;"Bijeenkomst IVN, afstemmen en kletsen bij buurvrouw";0;0;0;2;0;0;0;0;2;0;0;0;"2017-04-22 23:00:00";4;"2017-04-22 23:00:00";"2017-04-23 00:30:00";90
"2017-04-23 22:45:02+02:00";"HA61";"2017-04-23 00:30:00";1;"Uitgelopen jubileum collega";"2017-04-23 08:15:00";1;0;2;1;3;0;3;2;3;0;"Fietsen, feest, auto rijden";0;0;0;0;0;0;0;2;2;0;0;0;"2017-04-23 23:00:00";4;"2017-04-23 23:00:00";"2017-04-24 10:30:00";690
"2017-04-24 22:41:03+02:00";"HA61";"2017-04-24 10:30:00";0;"";"2017-04-24 08:00:00";2;1;2;1;3;1;3;2;1;0;"Eten, skeelerles, discussie vriendin";0;0;0;2;0;0;0;0;0;0;0;0;"2017-04-24 22:40:00";2;"2017-04-24 22:40:00";"2017-04-24 22:30:00";-10
"2017-04-25 14:25:58+02:00";"HA61";"2017-04-25 22:30:00";0;"";"2017-04-25 08:10:00";1;0;1;0;1;2;1;2;1;2;"Eten, hond uitlaten, tv, hotel verkennen";0;0;0;2;2;2;0;2;0;0;0;0;"2017-04-25 22:30:00";8;"2017-04-25 22:30:00";"2017-04-26 01:30:00";180
"2017-04-26 15:08:57+02:00";"HA61";"2017-04-26 01:30:00";1;"Film op televisie";"2017-04-26 08:00:00";3;1;2;1;1;0;1;1;1;3;"hond uitlaten, koffie drinken in lounch, tv kijken";0;0;0;2;2;0;2;2;0;0;0;0;"2017-04-26 22:00:00";8;"2017-04-26 22:00:00";"2017-04-26 22:15:00";15
"2017-04-27 16:56:07+02:00";"HA61";"2017-04-27 22:15:00";0;"";"2017-04-27 07:45:00";1;0;1;1;1;1;1;1;1;1;"Hond uitlaten, discussie met vriendin, tv kijken";0;0;0;2;0;0;2;0;0;0;0;0;"2017-04-27 22:30:00";4;"2017-04-27 22:30:00";"2017-04-27 22:30:00";0
"2017-04-28 15:31:35+02:00";"HA61";"2017-04-28 22:30:00";0;"";"2017-04-28 09:00:00";2;1;1;1;1;2;1;2;1;1;"Hond uitlaten, tv, muziek luisteren";0;0;0;2;0;2;0;0;0;0;0;0;"2017-04-28 22:00:00";4;"2017-04-28 22:00:00";"2017-04-29 00:00:00";120
"2017-04-10 21:17:41+02:00";"he46";"2017-04-10 00:00:00";1;"niet willen slapen";"2017-04-10 07:00:00";1;0;1;1;1;1;0;1;3;3;"tv kijken en computeren";0;0;0;0;0;2;2;0;0;0;0;0;"2017-04-10 00:00:00";4;"2017-04-11 00:00:00";"2017-04-10 23:00:00";-60
"2017-04-11 23:09:55+02:00";"he46";"2017-04-11 23:00:00";0;"";"2017-04-11 07:45:00";1;0;1;0;1;2;1;1;1;0;"uit eten en radio luisteren";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-11 23:30:00";2;"2017-04-11 23:30:00";"2017-04-12 00:00:00";30
"2017-04-12 09:50:50+02:00";"he46";"2017-04-12 00:00:00";1;"tv kijken";"2017-04-12 07:00:00";1;0;1;0;1;2;0;2;2;3;"tv kijken en studeren";0;2;0;0;2;2;2;2;0;0;0;0;"2017-04-12 23:00:00";10;"2017-04-12 23:00:00";"2017-04-12 23:30:00";30
"2017-04-13 09:50:20+02:00";"HE46";"2017-04-13 23:30:00";1;"voetbal kijken";"2017-04-13 06:30:00";1;1;1;0;1;1;0;2;3;3;"studeren, tv kijken, computeren";0;0;0;0;0;2;0;0;0;0;0;1;"2017-04-13 23:00:00";3;"2017-04-13 23:00:00";"2017-04-13 23:15:00";15
"2017-04-14 08:23:12+02:00";"he46";"2017-04-14 23:15:00";0;"";"2017-04-14 06:30:00";2;1;1;0;1;1;0;2;3;3;"voetbal kijken en computeren";0;0;0;0;0;2;0;0;0;0;0;0;"2017-04-14 23:30:00";2;"2017-04-14 23:30:00";"2017-04-15 01:00:00";90
"2017-04-15 00:03:31+02:00";"he46";"2017-04-15 01:00:00";1;"rusteloos";"2017-04-15 07:15:00";2;0;0;0;2;1;3;2;3;3;"tv kijken  en computeren";0;0;0;0;0;2;2;0;0;0;0;0;"2017-04-15 00:30:00";4;"2017-04-16 00:30:00";"2017-04-16 00:30:00";0
"2017-04-16 10:40:24+02:00";"he46";"2017-04-16 00:30:00";0;"tv kijken";"2017-04-16 09:00:00";1;0;2;1;3;1;0;3;2;3;"tv kijken en computeren";0;2;0;0;0;2;2;2;0;0;0;0;"2017-04-16 00:00:00";8;"2017-04-17 00:00:00";"2017-04-17 01:30:00";90
"2017-04-17 09:37:56+02:00";"he46";"2017-04-17 01:30:00";1;"moest werk afmaken";"2017-04-17 08:30:00";1;1;0;1;0;2;1;3;3;3;"werken achter de pc";0;0;0;0;0;0;2;2;0;0;0;0;"2017-04-17 00:00:00";4;"2017-04-18 00:00:00";"2017-04-18 00:15:00";15
"2017-04-18 11:40:54+02:00";"he46";"2017-04-18 00:15:00";1;"tv kijken";"2017-04-18 09:00:00";1;0;0;0;0;2;1;2;2;3;"tv kijken en computeren";0;0;0;0;0;2;2;2;0;0;0;0;"2017-04-18 00:00:00";6;"2017-04-19 00:00:00";"2017-04-19 00:15:00";15
"2017-04-19 22:39:32+02:00";"he46";"2017-04-19 00:15:00";1;"tv kijken ";"2017-04-19 08:30:00";1;0;0;1;1;1;0;2;3;3;"tv kijken en computeren";0;0;0;0;0;2;2;2;0;0;0;0;"2017-04-19 23:30:00";6;"2017-04-19 23:30:00";"2017-04-20 02:00:00";150
"2017-04-20 13:33:26+02:00";"HE46";"2017-04-20 02:00:00";1;"borrelen met vrienden";"2017-04-20 09:00:00";0;0;1;1;1;2;0;0;3;0;"kletsen met vrienden";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-20 23:00:00";2;"2017-04-20 23:00:00";"2017-04-21 01:00:00";120
"2017-04-21 21:23:50+02:00";"he46";"2017-04-21 01:00:00";1;"gevierd dat ik mijn scriptie had ingeleverd";"2017-04-21 06:30:00";2;1;1;0;1;1;1;0;3;0;"kletsen met vrienden";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-21 23:30:00";2;"2017-04-21 23:30:00";"2017-04-22 00:00:00";30
"2017-04-22 20:44:05+02:00";"he46";"2017-04-22 00:00:00";0;"werken";"2017-04-22 07:20:00";2;1;0;0;0;2;0;2;3;3;"computeren";0;0;0;0;0;2;2;0;0;0;0;0;"2017-04-22 23:30:00";4;"2017-04-22 23:30:00";"2017-04-23 00:00:00";30
"2017-04-23 22:43:23+02:00";"he46";"2017-04-23 00:00:00";1;"werken";"2017-04-23 06:30:00";2;1;0;0;1;2;1;2;3;1;"computeren";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-23 23:30:00";0;"2017-04-23 23:30:00";"2017-04-24 01:00:00";90
"2017-04-24 19:30:34+02:00";"he46";"2017-04-24 01:00:00";0;"";"2017-04-24 08:00:00";1;0;0;1;1;1;0;0;3;0;"feestje gevierd";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-24 00:00:00";2;"2017-04-25 00:00:00";"2017-04-24 23:30:00";-30
"2017-04-25 21:17:13+02:00";"he46";"2017-04-25 23:30:00";0;"";"2017-04-25 07:00:00";2;0;1;1;1;2;1;2;3;3;"tv kijken";0;0;0;0;0;0;2;0;0;0;0;0;"2017-04-25 23:00:00";2;"2017-04-25 23:00:00";"2017-04-25 23:45:00";45
